Constituency,Elected MP[6],Elected Party,Majority,Previous MP[7],Previous Party
Ablekuma West,Kweku Addo[52],NDC,"5,291",Ursula G Owusu,NPP
Ada,Comfort Doyoe Cudjoe-Ghansah[53],NDC,,Comfort Doyoe Cudjoe-Ghansah,NDC
Adenta,Mohammed Adamu Ramadan[54],NDC,,Mohammed Adamu Ramadan,NDC
Amasaman,Sedem Kweku Afenyo,NDC,,Akwasi Owusu Afrifa-Mensa,NPP
Anyaa-Sowutuom,Emmanuel Tobin[55],NPP,,Dickson Adomako Kissi,NPP
Ashaiman,Ernest Henry Norgbey,NDC,,Ernest Henry Norgbey,NDC
Ayawaso Central,Abdul Rauf Tongym Tubazu[56],NDC,"6,410",Henry Quartey,NPP
Ayawaso East,Naser Toure Mahama,NDC,,Naser Toure Mahama,NDC
Ayawaso North,Yussif Issaka Jajah,NDC,,Yussif Issaka Jajah,NDC
Ayawaso West Wuogon,John Dumelo[57],NDC,,Lydia Alhassan,NPP
Bortianor-Ngleshie-Amanfro,Felix Akwetey Okle[58],NDC,"9,813",Sylvester Tetteh,NPP
Dade Kotopon,Rita Naa Odoley Sowah[59],NDC,"8,566",Rita Naa Odoley Sowah,NDC
Dome Kwabenya,***,,,Sarah Adwoa Safo,NPP
Domeabra-Obom,Isaac Awuku Yibor,NDC,,Sophia Karen Edem Ackuaku,NDC
Korle Klottey,Zanetor Agyeman-Rawlings[60],NDC,,Zanetor Agyeman-Rawlings,NDC
Kpone-Katamanso,Joseph Akuerteh Tettey[61],NDC,,Joseph Akuerteh Tettey,NDC
Krowor,Agnes Naa Momo Lartey,NDC,,Agnes Naa Momo Lartey,NDC
Ledzokuku,Benjamin Narteh Ayiku[62],NDC,,Benjamin Narteh Ayiku,NDC
Madina,Francis-Xavier Kojo Sosu,NDC,,Francis-Xavier Kojo Sosu,NDC
Ningo-Prampram,Samuel George Nartey,NDC,,Samuel George Nartey,NDC
Odododiodio,Alfred Nii Kotei Ashie[63],NDC,"13,596",Nii Lantey Vanderpuye,NDC
Okaikwei Central,***,,,Patrick Yaw Boamah,NPP
Okaikwei North,Theresa Lardi Awuni[64],NDC,"7,736",Theresa Lardi Awuni,NDC
Okaikwei South,Ernest Adomako,NDC,,Dakoa Newman,NPP
Sege,Daniel Keshi Bessey,NDC,,Christian Corleytey Otuteye,NDC
Shai-Osudoku,Linda Obenewaa Akweley Ocloo,NDC,,Linda Obenewaa Akweley Ocloo,NDC
Tema Central,,,,Yves Hanson-Nortey,NPP
Tema East,Isaac Ashai Odamtten[65],NDC,,Isaac Ashai Odamtten,NDC
Tema West,James Enu[66],NDC,,Carlos Kingsley Ahenkora,NPP
Trobu,Gloria Owusu,NPP,,Moses Anim,NPP
Weija Gbawe,Jerry Ahmed Shaib,NPP,,Tina Gifty Naa Ayeley Mensah,NPP
Bimbilla,Dominc Aduna Bingab Nitiwul,NPP,,Dominc Aduna Bingab Nitiwul,NPP
Gushegu,Alhassan S. Tampuli,NPP,,Alhassan Tampuli Sulemana,NPP
Karaga,Mohammed Amin Adam,NPP,,Mohammed Amin Adam,NPP
Kpandai,Matthew Nyindam,NPP,,Daniel Nsala Wakpal,NDC
Kumbungu,Hamza Adam,NDC,,Hamza Adam,NDC
Mion,Misbahu Mahama Adams,NDC,,Musah Abdul-Aziz Ayaba,NDC
Nanton,Mohammed Sherif Abdul-Khaliq,NDC,,Mohammed Hardi Tuferu,NPP
Saboba,Joseph Bukari Nikpe,NDC,,Joseph Bukari Nikpe,NDC
Sagnarigu,Attah Issa[70],NDC,,Alhassan Bashir Fuseini,NDC
Savelugu,Abdul Aziz Fatahiya,NPP,,Jacob Iddriss Abdulai,NDC
Tamale Central,Ibrahim Murtala Muhammed,NDC,,Ibrahim Murtala Muhammed,NDC
Tamale North,Suhuyini Alhassan Sayibu,NDC,,Suhuyini Alhassan Sayibu,NDC
Tamale South,Haruna Iddrisu,NDC,,Haruna Iddrisu,NDC
Tatale-Sanguli,Ntebe Ayo William,NDC,,Thomas Mbomba,NPP
Tolon,Habib Iddrisu,NPP,,Habib Iddrisu,NPP
